id         name            price      dmgType   
1          Nasus           1350       ad        
2          Lee Sin         4800       ad        
3          Akali           3150       ap        
4          Master Yi       450        ad        
5          Xin Zhao        1350       ad        
6          Volibear        3150       tank      
7          Ryze            450        ap        
8          Twisted Fate    1350       ap        
9          Aurelion Sol    6300       ap        
10         Draven          4800       ad        
11         Caitlyn         4800       ad        
12         Lucian          4800       ad        
13         Blitzcrank      3150       tank      
14         Thresh          4800       tank      
15         Nautilus        4800       tank      
